Batch 35/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 1377ms; RSS 290 MiB
Stage primary_extraction [36/133]: 949ms; RSS 268 MiB
Stage schema_pass [36/133]: 42ms; RSS 267 MiB
Stage framework_pass [36/133]: 59ms; RSS 269 MiB
Stage string_literal_pass [36/133]: 33ms; RSS 264 MiB
Stage param_flow_pass [36/133]: 12ms; RSS 264 MiB
Stage route_pass [36/133]: 66ms; RSS 269 MiB
Batch 36/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 1383ms; RSS 269 MiB
Stage primary_extraction [37/133]: 347ms; RSS 261 MiB
Stage schema_pass [37/133]: 10ms; RSS 262 MiB
Stage framework_pass [37/133]: 9ms; RSS 262 MiB
Stage string_literal_pass [37/133]: 6ms; RSS 263 MiB
Stage param_flow_pass [37/133]: 7ms; RSS 263 MiB
Stage route_pass [37/133]: 31ms; RSS 265 MiB
Batch 37/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 569ms; RSS 265 MiB
Stage primary_extraction [38/133]: 560ms; RSS 269 MiB
Stage schema_pass [38/133]: 14ms; RSS 270 MiB
Stage framework_pass [38/133]: 39ms; RSS 272 MiB
Stage string_literal_pass [38/133]: 22ms; RSS 273 MiB
Stage param_flow_pass [38/133]: 13ms; RSS 274 MiB
Stage route_pass [38/133]: 87ms; RSS 278 MiB
Batch 38/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 891ms; RSS 278 MiB
Stage primary_extraction [39/133]: 572ms; RSS 278 MiB
Stage schema_pass [39/133]: 11ms; RSS 278 MiB
Stage framework_pass [39/133]: 8ms; RSS 278 MiB
Stage string_literal_pass [39/133]: 6ms; RSS 278 MiB
Stage param_flow_pass [39/133]: 4ms; RSS 278 MiB
Stage route_pass [39/133]: 34ms; RSS 280 MiB
Batch 39/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 774ms; RSS 280 MiB
Stage primary_extraction [40/133]: 618ms; RSS 274 MiB
Stage schema_pass [40/133]: 35ms; RSS 276 MiB
Stage framework_pass [40/133]: 44ms; RSS 278 MiB
Stage string_literal_pass [40/133]: 34ms; RSS 280 MiB
Stage param_flow_pass [40/133]: 13ms; RSS 280 MiB
Stage route_pass [40/133]: 76ms; RSS 286 MiB
Batch 40/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 1003ms; RSS 286 MiB
Stage primary_extraction [41/133]: 1170ms; RSS 285 MiB
Stage schema_pass [41/133]: 18ms; RSS 286 MiB
Stage framework_pass [41/133]: 22ms; RSS 288 MiB
Stage string_literal_pass [41/133]: 16ms; RSS 290 MiB
Stage param_flow_pass [41/133]: 8ms; RSS 290 MiB
Stage route_pass [41/133]: 38ms; RSS 294 MiB
Batch 41/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 1437ms; RSS 294 MiB
Stage primary_extraction [42/133]: 3527ms; RSS 326 MiB
Stage schema_pass [42/133]: 114ms; RSS 326 MiB
Stage framework_pass [42/133]: 305ms; RSS 343 MiB
Stage string_literal_pass [42/133]: 110ms; RSS 362 MiB
Stage param_flow_pass [42/133]: 7ms; RSS 362 MiB
Stage route_pass [42/133]: 328ms; RSS 370 MiB
Batch 42/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 4818ms; RSS 370 MiB
Stage primary_extraction [43/133]: 4038ms; RSS 332 MiB
Stage schema_pass [43/133]: 202ms; RSS 341 MiB
Stage framework_pass [43/133]: 359ms; RSS 370 MiB
Stage string_literal_pass [43/133]: 157ms; RSS 370 MiB
Stage param_flow_pass [43/133]: 16ms; RSS 370 MiB
Stage route_pass [43/133]: 159ms; RSS 373 MiB
Batch 43/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 5535ms; RSS 377 MiB
Stage primary_extraction [44/133]: 4551ms; RSS 341 MiB
Stage schema_pass [44/133]: 103ms; RSS 344 MiB
Stage framework_pass [44/133]: 298ms; RSS 372 MiB
Stage string_literal_pass [44/133]: 260ms; RSS 390 MiB
Stage param_flow_pass [44/133]: 15ms; RSS 390 MiB
Stage route_pass [44/133]: 121ms; RSS 391 MiB
Batch 44/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 5811ms; RSS 391 MiB
Stage primary_extraction [45/133]: 1498ms; RSS 322 MiB
Stage schema_pass [45/133]: 69ms; RSS 332 MiB
Stage framework_pass [45/133]: 145ms; RSS 357 MiB
Stage string_literal_pass [45/133]: 190ms; RSS 361 MiB
Stage param_flow_pass [45/133]: 35ms; RSS 361 MiB
Stage route_pass [45/133]: 88ms; RSS 361 MiB
Batch 45/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 2407ms; RSS 361 MiB
Stage primary_extraction [46/133]: 2354ms; RSS 348 MiB
Stage schema_pass [46/133]: 79ms; RSS 352 MiB
Stage framework_pass [46/133]: 211ms; RSS 383 MiB
Stage string_literal_pass [46/133]: 289ms; RSS 398 MiB
