Stage primary_extraction [34/134]: 244ms; RSS 353 MiB
Stage schema_pass [34/134]: 6ms; RSS 344 MiB
Stage framework_pass [34/134]: 13ms; RSS 344 MiB
Stage string_literal_pass [34/134]: 12ms; RSS 344 MiB
Stage param_flow_pass [34/134]: 4ms; RSS 344 MiB
Stage route_pass [34/134]: 18ms; RSS 345 MiB
Batch 34/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 349ms; RSS 345 MiB
Stage primary_extraction [35/134]: 303ms; RSS 323 MiB
Stage schema_pass [35/134]: 10ms; RSS 323 MiB
Stage framework_pass [35/134]: 15ms; RSS 323 MiB
Stage string_literal_pass [35/134]: 10ms; RSS 323 MiB
Stage param_flow_pass [35/134]: 2ms; RSS 323 MiB
Stage route_pass [35/134]: 22ms; RSS 329 MiB
Batch 35/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 406ms; RSS 329 MiB
Stage primary_extraction [36/134]: 338ms; RSS 326 MiB
Stage schema_pass [36/134]: 13ms; RSS 327 MiB
Stage framework_pass [36/134]: 10ms; RSS 328 MiB
Stage string_literal_pass [36/134]: 9ms; RSS 330 MiB
Stage param_flow_pass [36/134]: 7ms; RSS 331 MiB
Stage route_pass [36/134]: 35ms; RSS 332 MiB
Batch 36/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 469ms; RSS 332 MiB
Stage primary_extraction [37/134]: 224ms; RSS 315 MiB
Stage schema_pass [37/134]: 7ms; RSS 316 MiB
Stage framework_pass [37/134]: 5ms; RSS 317 MiB
Stage string_literal_pass [37/134]: 6ms; RSS 317 MiB
Stage param_flow_pass [37/134]: 5ms; RSS 317 MiB
Stage route_pass [37/134]: 14ms; RSS 318 MiB
Batch 37/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 301ms; RSS 319 MiB
Stage primary_extraction [38/134]: 375ms; RSS 318 MiB
Stage schema_pass [38/134]: 20ms; RSS 319 MiB
Stage framework_pass [38/134]: 24ms; RSS 322 MiB
Stage string_literal_pass [38/134]: 19ms; RSS 324 MiB
Stage param_flow_pass [38/134]: 6ms; RSS 324 MiB
Stage route_pass [38/134]: 32ms; RSS 327 MiB
Batch 38/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 527ms; RSS 327 MiB
Stage primary_extraction [39/134]: 181ms; RSS 318 MiB
Stage schema_pass [39/134]: 6ms; RSS 319 MiB
Stage framework_pass [39/134]: 4ms; RSS 319 MiB
Stage string_literal_pass [39/134]: 4ms; RSS 320 MiB
Stage param_flow_pass [39/134]: 2ms; RSS 320 MiB
Stage route_pass [39/134]: 12ms; RSS 321 MiB
Batch 39/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 232ms; RSS 321 MiB
Stage primary_extraction [40/134]: 256ms; RSS 320 MiB
Stage schema_pass [40/134]: 14ms; RSS 321 MiB
Stage framework_pass [40/134]: 15ms; RSS 323 MiB
Stage string_literal_pass [40/134]: 11ms; RSS 324 MiB
Stage param_flow_pass [40/134]: 5ms; RSS 325 MiB
Stage route_pass [40/134]: 27ms; RSS 329 MiB
Batch 40/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 387ms; RSS 329 MiB
Stage primary_extraction [41/134]: 259ms; RSS 319 MiB
Stage schema_pass [41/134]: 14ms; RSS 320 MiB
Stage framework_pass [41/134]: 14ms; RSS 323 MiB
Stage string_literal_pass [41/134]: 13ms; RSS 325 MiB
Stage param_flow_pass [41/134]: 6ms; RSS 325 MiB
Stage route_pass [41/134]: 24ms; RSS 330 MiB
Batch 41/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 360ms; RSS 331 MiB
Stage primary_extraction [42/134]: 1108ms; RSS 368 MiB
Stage schema_pass [42/134]: 35ms; RSS 368 MiB
Stage framework_pass [42/134]: 80ms; RSS 379 MiB
Stage string_literal_pass [42/134]: 62ms; RSS 395 MiB
Stage param_flow_pass [42/134]: 4ms; RSS 395 MiB
Stage route_pass [42/134]: 108ms; RSS 412 MiB
Batch 42/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 1495ms; RSS 412 MiB
Stage primary_extraction [43/134]: 1169ms; RSS 379 MiB
Stage schema_pass [43/134]: 55ms; RSS 389 MiB
Stage framework_pass [43/134]: 176ms; RSS 417 MiB
Stage string_literal_pass [43/134]: 59ms; RSS 416 MiB
Stage param_flow_pass [43/134]: 4ms; RSS 416 MiB
Stage route_pass [43/134]: 84ms; RSS 417 MiB
Batch 43/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 1709ms; RSS 422 MiB
Stage primary_extraction [44/134]: 1199ms; RSS 385 MiB
Stage schema_pass [44/134]: 32ms; RSS 386 MiB
Stage framework_pass [44/134]: 113ms; RSS 413 MiB
Stage string_literal_pass [44/134]: 130ms; RSS 432 MiB
Stage param_flow_pass [44/134]: 6ms; RSS 431 MiB
Stage route_pass [44/134]: 58ms; RSS 431 MiB
Batch 44/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 1645ms; RSS 432 MiB
Stage primary_extraction [45/134]: 687ms; RSS 369 MiB
Stage schema_pass [45/134]: 44ms; RSS 380 MiB
Stage framework_pass [45/134]: 113ms; RSS 391 MiB
Stage string_literal_pass [45/134]: 33ms; RSS 391 MiB
Stage param_flow_pass [45/134]: 4ms; RSS 391 MiB
Stage route_pass [45/134]: 42ms; RSS 391 MiB
Batch 45/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 1016ms; RSS 392 MiB
Stage primary_extraction [46/134]: 1179ms; RSS 392 MiB
Stage schema_pass [46/134]: 50ms; RSS 398 MiB
Stage framework_pass [46/134]: 123ms; RSS 427 MiB
Stage string_literal_pass [46/134]: 111ms; RSS 440 MiB
Stage param_flow_pass [46/134]: 24ms; RSS 440 MiB
Stage route_pass [46/134]: 72ms; RSS 440 MiB
Batch 46/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 1708ms; RSS 440 MiB
Stage primary_extraction [47/134]: 443ms; RSS 355 MiB
Stage schema_pass [47/134]: 30ms; RSS 363 MiB
Stage framework_pass [47/134]: 76ms; RSS 381 MiB
Stage string_literal_pass [47/134]: 44ms; RSS 393 MiB
Stage param_flow_pass [47/134]: 5ms; RSS 393 MiB
Stage route_pass [47/134]: 76ms; RSS 400 MiB
Batch 47/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 741ms; RSS 400 MiB
Stage primary_extraction [48/134]: 1634ms; RSS 405 MiB
Stage schema_pass [48/134]: 77ms; RSS 418 MiB
Stage framework_pass [48/134]: 207ms; RSS 439 MiB
Stage string_literal_pass [48/134]: 71ms; RSS 439 MiB
Stage param_flow_pass [48/134]: 5ms; RSS 439 MiB
Stage route_pass [48/134]: 182ms; RSS 455 MiB
Batch 48/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 2326ms; RSS 456 MiB
Stage primary_extraction [49/134]: 1895ms; RSS 412 MiB
Stage schema_pass [49/134]: 102ms; RSS 428 MiB
Stage framework_pass [49/134]: 244ms; RSS 449 MiB
Stage string_literal_pass [49/134]: 83ms; RSS 449 MiB
Stage param_flow_pass [49/134]: 8ms; RSS 449 MiB
Stage route_pass [49/134]: 200ms; RSS 468 MiB
Batch 49/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 2689ms; RSS 468 MiB
Stage primary_extraction [50/134]: 1447ms; RSS 409 MiB
Stage schema_pass [50/134]: 44ms; RSS 413 MiB
Stage framework_pass [50/134]: 165ms; RSS 430 MiB
Stage string_literal_pass [50/134]: 114ms; RSS 450 MiB
Stage param_flow_pass [50/134]: 15ms; RSS 452 MiB
Stage route_pass [50/134]: 180ms; RSS 474 MiB
Batch 50/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 2133ms; RSS 474 MiB
Stage primary_extraction [51/134]: 1381ms; RSS 414 MiB
Stage schema_pass [51/134]: 45ms; RSS 416 MiB
Stage framework_pass [51/134]: 142ms; RSS 448 MiB
Stage string_literal_pass [51/134]: 183ms; RSS 465 MiB
Stage param_flow_pass [51/134]: 11ms; RSS 465 MiB
Stage route_pass [51/134]: 106ms; RSS 464 MiB
Batch 51/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 2006ms; RSS 464 MiB
Stage primary_extraction [52/134]: 912ms; RSS 409 MiB
Stage schema_pass [52/134]: 59ms; RSS 423 MiB
Stage framework_pass [52/134]: 111ms; RSS 424 MiB
Stage string_literal_pass [52/134]: 44ms; RSS 424 MiB
Stage param_flow_pass [52/134]: 3ms; RSS 424 MiB
Stage route_pass [52/134]: 78ms; RSS 442 MiB
Batch 52/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 1331ms; RSS 443 MiB
Stage primary_extraction [53/134]: 190ms; RSS 457 MiB
Stage schema_pass [53/134]: 16ms; RSS 456 MiB
Stage framework_pass [53/134]: 9ms; RSS 456 MiB
Stage string_literal_pass [53/134]: 6ms; RSS 456 MiB
Stage param_flow_pass [53/134]: 3ms; RSS 456 MiB
Stage route_pass [53/134]: 20ms; RSS 456 MiB
Batch 53/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 300ms; RSS 456 MiB
Stage primary_extraction [54/134]: 531ms; RSS 387 MiB
Stage schema_pass [54/134]: 47ms; RSS 391 MiB
Stage framework_pass [54/134]: 110ms; RSS 408 MiB
Stage string_literal_pass [54/134]: 79ms; RSS 420 MiB
Stage param_flow_pass [54/134]: 8ms; RSS 420 MiB
Stage route_pass [54/134]: 85ms; RSS 436 MiB
Batch 54/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 953ms; RSS 436 MiB
Stage primary_extraction [55/134]: 519ms; RSS 375 MiB
Stage schema_pass [55/134]: 25ms; RSS 380 MiB
Stage framework_pass [55/134]: 36ms; RSS 389 MiB
Stage string_literal_pass [55/134]: 30ms; RSS 395 MiB
