Batch 53/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1231ms; RSS 359 MiB
Stage primary_extraction [54/133]: 1603ms; RSS 369 MiB
Stage schema_pass [54/133]: 48ms; RSS 374 MiB
Stage framework_pass [54/133]: 130ms; RSS 393 MiB
Stage string_literal_pass [54/133]: 89ms; RSS 406 MiB
Stage param_flow_pass [54/133]: 4ms; RSS 406 MiB
Stage route_pass [54/133]: 235ms; RSS 411 MiB
Batch 54/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 2542ms; RSS 412 MiB
Stage primary_extraction [55/133]: 1534ms; RSS 367 MiB
Stage schema_pass [55/133]: 87ms; RSS 374 MiB
Stage framework_pass [55/133]: 58ms; RSS 384 MiB
Stage string_literal_pass [55/133]: 54ms; RSS 391 MiB
Stage param_flow_pass [55/133]: 10ms; RSS 391 MiB
Stage route_pass [55/133]: 183ms; RSS 410 MiB
Batch 55/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 2298ms; RSS 410 MiB
Stage primary_extraction [56/133]: 3918ms; RSS 373 MiB
Stage schema_pass [56/133]: 359ms; RSS 386 MiB
Stage framework_pass [56/133]: 338ms; RSS 402 MiB
Stage string_literal_pass [56/133]: 142ms; RSS 414 MiB
